# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;leveä hymy;hymy|kasvot|leveä hymy|naama|virnistys
🗳️;ääniuurna;äänestyslippu|ääni|ääniuurna|uurna|vaali
✏️;lyijykynä;kynä|lyijykynä
✒️;musta kynänkärki;kynä|musta kynänkärki|mustekynä
🖋️;täytekynä;kynä|mustekynä|täytekynä
🖊️;kuulakärkikynä;kuulakärkikynä|kynä
🖌️;sivellin;maalaaminen|maali|maalisuti|sivellin
🖍️;väriliitu;liitu|väri|väriliitu
📝;muistio;lyijykynä|muistiinpanot|muistio
💼;salkku;salkku|toimisto
📁;tiedostokansio;kansio|tiedosto|tiedostokansio
📂;avoin tiedostokansio;avoin|avoin tiedostokansio|kansio|tiedosto
🗂️;kortiston välilehdet;arkisto|kortisto|kortiston välilehdet|kortti|välilehti
📅;kalenteri;kalenteri|päivämäärä
📆;päiväkalenteri;kalenteri|päiväkalenteri
🗒️;kierrelehtiö;kierre|kierrelehtiö|lehtiö|muistio
🗓️;kierrekalenteri;kalenteri|kierre|kierrekalenteri|lehtiö
📇;kortisto;kortisto|kortti|rolodex
📈;nouseva käyrä;kaavio|kasvu|käyrä|nouseva käyrä|nousu|suuntaus|trendi
📉;laskeva käyrä;kaavio|käyrä|laskeva käyrä|lasku|suuntaus
📊;pylväskaavio;kaavio|pylväs|pylväskaavio|tilasto
📋;leikepöytä;leikepöytä|levy|paperinpidike
📌;nuppineula;nuppineula
📍;pyöreä nasta;karttanaula|nasta|naula|neula|pyöreä nasta
📎;paperiliitin;klemmari|liitin|paperiliitin
🖇️;klemmarit yhdessä;klemmari|klemmarit yhdessä|liitin|paperiliitin|yhdessä
📏;viivoitin;suora|viivain|viivoitin
📐;kolmioviivain;kolmio|kolmioviivain|viivain|viivotin
✂️;sakset;leikkaus|sakset|työkalu
🗃️;arkistolaatikko;arkistolaatikko|kortisto|laatikko|mappi
🗄️;arkistokaappi;arkistokaappi|kaappi|kortisto|mappi
🗑️;roskakori;roskakori|roskis
🔒;lukko;kiinni|lukko|yksityinen
🔓;lukko auki;auki|avata|lukko
🔏;lukko ja kynä;kirjoittaa|lukko|lukko ja kynä|mustekynä|suojaus
🔐;avain ja lukko kiinni;avain|avain ja lukko kiinni|kiinni|lukko|pyörä|turva
🔑;avain;avain|lukittu|salasana
🗝️;vanha avain;avain|lukko|vanha|vihje
🔨;vasara;korjaus|työkalu|vasara
🪓;kirves;hakata|halkoa|kirves|metsä|pilkkoa|puu
⛏️;hakku;hakku|kaivaa|kaivos|työkalu
⚒️;hakku ja vasara;hakku|hakku ja vasara|työkalu|vasara
🛠️;jakoavain ja vasara;jakoavain|jakoavain ja vasara|työkalu|vasara
🗡️;tikari;ase|miekka|teräase|tikari|veitsi
⚔️;miekat ristissä;ase|miekat ristissä|miekka|risti
💣;pommi;pommi|räjähdys|sarjakuva
🪃;bumerangi;ase|australia|bumerangi|kimmota takaisin|seuraus
🏹;jousi ja nuoli;ase|horoskooppi|horoskooppimerkki|jousi ja nuoli|jousiammunta|jousimies|jousipyssy|työkalu
🛡️;kilpi;ase|kilpi
🪚;käsisaha;käsisaha|puuseppä|saha|sahatavara|työkalu
🔧;jakoavain;jakoavain|työkalu
🪛;ruuvimeisseli;meisseli|ruuvi|ruuvimeisseli|taltta|työkalu
🔩;ruuvi ja mutteri;mutteri|ruuvi|ruuvi ja mutteri|työkalu
⚙️;hammasratas;hammasratas|työkalu
🗜️;ruuvipuristin;puristin|ruuvipenkki|ruuvipuristin|työkalu
⚖️;vaaka;horoskooppi|horoskooppimerkki|oikeus|punnus|työkalu|vaaka
🦯;valkoinen keppi;esteettömyys|sokea|valkoinen keppi
🔗;lenkki;ketju|lenkki
⛓️‍💥;katkennut ketju;irti kahleista|käsiraudat|katkennut ketju|katketa|ketju|vapaus
⛓️;ketjut;ketju|ketjut
🪝;koukku;haka|koukku|koukuttaa
🧰;työkalulaatikko;laatikko|mekaaninen|pakki|työkalu|työkalulaatikko|työkalupakki
🧲;magneetti;hevosenkenkä|magneetti|magneettinen|negatiivinen|positiivinen|puoleensavetävä
🪜;tikkaat;askelma|kiivetä|tikapuut|tikkaat
🪏;lapio;haudata|kaivaa|kasvi|kuoppa|puutarha
⚗️;tislauskolvi;kemia|tislauskolvi|työkalu
🧪;koeputki;kemia|kemisti|koe|koeputki|laboratorio|tiede
🧫;petrimalja;bakteerikasvusto|bakteerit|biologi|laboratorio|petrimalja|viljely
🧬;dna;biologi|dna|evoluutio|geeni|genetiikka|perimä
🔬;mikroskooppi;koe|mikroskooppi|tiede|työkalu
🔭;kaukoputki;kaukoputki|teleskooppi|työkalu
📡;lautasantenni;antenni|lautanen|lautasantenni|satelliitti|satelliittiantenni
💉;ruisku;lääkäri|lääke|piikki|rokote|ruisku|tauti|työkalu
🩸;veripisara;kuukautiset|lääketiede|vamma|verenluovutus|veripisara
💊;pilleri;lääkäri|lääke|lääketiede|pilleri|tauti
🩹;laastari;haava|hoito|laastari
🩼;kainalosauva;kainalosauva|keppi|liikkumisen apuväline|rajoite|sauva|vamma
🩺;stetoskooppi;kuuntelu|lääkäri|stetoskooppi|sydän
🩻;röntgen;lääkäri|lääketiede|luuranko|luut|röntgen
🚪;ovi;ovi
🛗;hissi;esteettömyys|hissi
🪞;peili;heijastus|meikkaus|peilata|peili
🪟;ikkuna;aukko|ikkuna|kehys|läpinäkyvä|näkymä|raikas ilma
🛏️;sänky;hotelli|nukkua|sänky|uni
🛋️;sohva ja lamppu;hotelli|lamppu|sohva|sohva ja lamppu
🪑;tuoli;istua|istuin|istumapaikka|tuoli
🚽;vessanpönttö;vessa|vessanpönttö|wc
🪠;viemäripumppu;imukuppi|kakka|putkimies|viemäripumppu|WC
🚿;suihku;suihku|vesi
🛁;kylpyamme;amme|kylpy|kylpyamme
🪤;hiirenloukku;ansa|hiirenloukku|hiiri|juusto|loukku|syötti
🪒;partaveitsi;ajaa parta|partaveitsi|terävä
🧴;hoitoainepullo;aurinkovoide|hoitoaine|hoitoainepullo|kosteusvoide|sampoo|shampoo
🧷;hakaneula;hakaneula|punk|punkkari|vaippa
🧹;luuta;harja|lakaisu|luuta|noita|siivous
🧺;kori;kori|maatalous|piknik|pyykki|pyykkikori
🧻;paperirulla;paperipyyhkeet|paperirulla|talouspaperi|vessapaperi|wc-paperi
🪣;ämpäri;ämpäri|sanko
🧼;saippua;kylpy|palasaippua|peseytyminen|saippua|saippuavaahto|siivous
🫧;kuplat;helmi|kupla|kuplat|leijua|pinnanalainen|puhdas|röyhtäisy|saippua|vedenalainen
🪥;hammasharja;hammasharja|hampaat|harja|hygienia|kylpyhuone|puhdas
🧽;pesusieni;huokoinen|imukykyinen|pesu|pesusieni|sieni|siivous
🧯;sammutin;palonsammutin|palosammutin|sammutin|sammuttaa|sammutusväline|tuli|tulipalo
🛒;ostoskärryt;kärryt|ostaminen|ostokset|ostoskärryt
🚬;savuke;savuke|tupakointi
⚰️;arkku;arkku|kuolema|ruumisarkku|vampyyri
🪦;hautakivi;hauta|hautakivi|hautausmaa|kuolema|muisto
⚱️;tuhkauurna;hautajaiset|kuolema|tuhkauurna|uurna
🧿;nazar-amuletti;amuletti|helmi|nazar-amuletti|paha silmä|taikakalu|talismaani
🪬;hamsa;amuletti|ennustus|Fatima|hamsa|kämmen|käsi|Maria|Miriam|suoja|suojelu
🗿;moai;kasvot|kivipatsas|moai|moait|Pääsiäissaari|patsas
🪧;kyltti;kortti|kyltti|mielenosoitus|protesti
🪪;henkilökortti;ajokortti|henkilökortti|henkilötodistus|henkkarit|kortti|kulkulupa|tunnistus|turvallisuus

[symbols]
🏧;pankkiautomaatti;automaatti|otto|pankki|pankkiautomaatti
🚮;roskat-merkki;roska|roskakori|roskat-merkki
🚰;juomakelpoista vettä;hana|juoma|juomakelpoista vettä|juomavesi|juotava|vesi
♿;pyörätuoli;esteettömyys|pyörätuoli
🚹;miesten wc;miesten wc|miestenhuone|vessa|wc
🚺;naisten wc;naisten wc|naistenhuone|vessa|wc
🚻;wc;saniteetti|vessa|wc
🚼;vauva-merkki;lapsenhoito|vaipanvaihto|vauva|vauva-merkki
🚾;vessa;huussi|käymälä|vessa|wc
🛂;passintarkastus;passi|passintarkastus|tarkastus
🛃;tulli;paketti|tulli
🛄;matkatavarat;hihna|luovutus|matkatavarat
🛅;säilytyslokero;matkatavarat|säilytys|säilytyslokero|tavarasäilytys
⚠️;varoitus;muu vaara|tiedote|vaara|varoitus
🚸;lapsia liikenteessä;jalankulkija|lapsi|lapsia liikenteessä|liikenne|suojatie|ylitys
⛔;kielletty ajosuunta;ajosuunta|ei|kielletty|liikenne|sallittu
🚫;pääsy kielletty;ei|kielletty|liikenne|pääsy
🚳;polkupyörällä ajo kielletty;ei polkupyörille|kielletty|liikenne|polkupyörä|polkupyörällä ajo kielletty|pyörä
🚭;tupakointi kielletty;kielletty|tupakka|tupakointi
🚯;roskaaminen kielletty;kielletty|roska|roskaaminen kielletty|sotku
🚱;vesi ei juomakelpoista;ei juomakelpoinen|juomakelvoton|juominen kielletty|kielto|pilaantunut vesi|vesi|vesi ei juomakelpoista
🚷;jalankulku kielletty;jalankulkija|jalankulku kielletty|kielletty
📵;ei matkapuhelimia;ei matkapuhelimia|kielletty|matkapuhelin|puhelin
🔞;kielletty alaikäisiltä;18|ikäraja|ikärajoitus|kielletty|kielletty alaikäisiltä|täysi-ikäinen
☢️;säteilyvaara;radioaktiivinen|säteily|säteilyvaara|vaara|ydinsäteily
☣️;biologinen vaara;biologinen|biovaara|vaara
⬆️;nuoli ylös;ilmansuunta|nuoli|nuoli ylös|pääilmansuunta|pohjoinen
↗️;nuoli yläoikealle;ilmansuunta|koillinen|nuoli|nuoli yläoikealle|väli-ilmansuunta
➡️;nuoli oikealle;ilmansuunta|itä|nuoli|nuoli oikealle|pääilmansuunta
↘️;nuoli alaoikealle;ilmansuunta|kaakko|nuoli|nuoli alaoikealle|väli-ilmansuunta
⬇️;nuoli alas;etelä|ilmansuunta|nuoli|nuoli alas|pääilmansuunta
↙️;nuoli alavasemmalle;ilmansuunta|lounas|nuoli|nuoli alavasemmalle|väli-ilmansuunta
⬅️;nuoli vasemmalle;ilmansuunta|länsi|nuoli|nuoli vasemmalle|pääilmansuunta
↖️;nuoli ylävasemmalle;ilmansuunta|luode|nuoli|nuoli ylävasemmalle|väli-ilmansuunta
↕️;nuoli ylös ja alas;nuoli|nuoli ylös ja alas|suunta
↔️;nuoli oikealle ja vasemmalle;nuoli|nuoli oikealle ja vasemmalle|suunta
↩️;vasemmalle kääntyvä nuoli;nuoli|vasemmalle kääntyvä nuoli
↪️;oikealle kääntyvä nuoli;nuoli|oikea|oikealle kääntyvä nuoli
⤴️;ylös kääntyvä nuoli;nuoli|ylös|ylös kääntyvä nuoli
⤵️;alas kääntyvä nuoli;alas|alas kääntyvä nuoli|nuoli
🔃;pystynuolet myötäpäivään;myötäpäivään|nuoli|päivitä|pystynuolet myötäpäivään
🔄;nuolet vastapäivään;nuolet vastapäivään|nuoli|uudelleen|vastapäivään
🔙;BACK-nuoli;BACK-nuoli|nuoli|takaisin
🔚;END-nuoli;END-nuoli|lopeta|nuoli
🔛;ON!-nuoli;nuoli|ON!-nuoli|päällä
🔜;SOON-nuoli;nuoli|pian|SOON-nuoli|tulossa
🔝;TOP-nuoli;alkuun|nuoli|TOP-nuoli|ylös
🛐;pyhä rakennus;palvonta|palvontapaikka|pyhä rakennus|pyhäkkö|uskonto
⚛️;atomi;ateisti|atomi
🕉️;om-tavu;hindu|hindulaisuus|om-tavu|symboli|tavu|uskonto
✡️;Daavidin tähti;Daavid|Daavidin tähti|daavidintähti|juutalaisuus|tähti|uskonto
☸️;dharma-pyörä;buddha|buddhalaisuus|dharma|dharma-pyörä|pyörä|ratas|uskonto
☯️;jin ja jang;jang|jin|jin ja jang|tao|taolaisuus|uskonto|vaikea
✝️;latinalainen risti;kristinusko|latinalainen risti|risti|uskonto
☦️;ortodoksiristi;kristinusko|ortodoksiristi|ortodoksisuus|risti|uskonto
☪️;kuunsirppi ja tähti;islam|kuu|kuunsirppi ja tähti|muslimi|tähti|uskonto
☮️;rauhansymboli;rauha|rauhansymboli|symboli
🕎;menora;juutalaisuus|kynttilä|menora|seitsenhaarainen|uskonto
🔯;kuusisakarainen tähti pisteellä;kuusisakarainen tähti pisteellä|onnentähti|tähti|uskonto
🪯;khanda;khalsa|khanda|sikhi|sikhiläinen|sikhismi|symboli|uskonto|veljeys
♈;oinas-merkki;horoskooppi|horoskooppimerkki|oinas|oinas-merkki
♉;härkä-merkki;härkä|härkä-merkki|horoskooppi|horoskooppimerkki
♊;kaksonen-merkki;horoskooppi|horoskooppimerkki|kaksonen|kaksonen-merkki|kaksoset
♋;rapu-merkki;horoskooppi|horoskooppimerkki|rapu|rapu-merkki
♌;leijona-merkki;horoskooppi|horoskooppimerkki|leijona|leijona-merkki
♍;neitsyt-merkki;horoskooppi|horoskooppimerkki|neitsyt|neitsyt-merkki
♎;vaaka-merkki;horoskooppi|horoskooppimerkki|Libra|vaaka|vaaka-merkki
♏;skorpioni-merkki;horoskooppi|horoskooppimerkki|skorpioni|skorpioni-merkki
♐;jousimies-merkki;horoskooppi|horoskooppimerkki|jousimies|jousimies-merkki
♑;kauris-merkki;horoskooppi|horoskooppimerkki|kauris|kauris-merkki
♒;vesimies-merkki;horoskooppi|horoskooppimerkki|vesimies|vesimies-merkki
♓;kalat-merkki;horoskooppi|horoskooppimerkki|kalat|kalat-merkki
⛎;käärmeenkantaja;horoskooppi|horoskooppimerkki|käärme|käärmeenkantaja|ophiuchus|tähtikuvio
🔀;sekoitus;nappi|nuoli|painike|ristissä|sekoitus
🔁;toista uudelleen;myötäpäivään|nappi|nuoli|painike|toista uudelleen|uudestaan
🔂;toista kerran;kerran|myötäpäivään|nappi|nuoli|painike|toista kerran
▶️;toista;aloita|kolmio|nappi|oikealle|painike|toista|toisto
⏩;kelaa eteenpäin;2|eteen|kelaa eteenpäin|kelaus|nappi|nuoli|painike
⏭️;seuraava kappale;eteen|kolmiot|nappi|painike|seuraava|seuraava kappale|siirry
⏯️;toista/pysäytä;aloita|kolmio|nappi|painike|pysäytä|tauko|toista/pysäytä|toisto
◀️;kelaa hitaasti taakse;kelaa hitaasti taakse|kelaus|kolmio|nappi|painike|taakse
⏪;kelaa taaksepäin;2|kelaa taaksepäin|kelaus|nappi|nuoli|painike|taakse
⏮️;edellinen kappale;edellinen|edellinen kappale|kolmiot|nappi|painike|siirry|taakse
🔼;ylös;kolmio|nappi|painike|ylös
⏫;nopeasti ylös;2|kolmio|nappi|nopeasti ylös|painike|ylös
🔽;alas;alas|kolmio|nappi|painike
⏬;nopeasti alas;2|alas|kolmio|nappi|nopeasti alas|painike
⏸️;pysäytä;2|nappi|painike|palkki|pysäytä|tauko
⏹️;lopeta;lopeta|nappi|neliö|painike|pysäytä
⏺️;tallenna;äänitä|nappi|nauhoita|painike|tallenna|ympyrä
⏏️;poista;anna|avaus|nappi|painike|poista
🎦;videokuva;elokuva|kamera|kuvata|video|videokuva
🔅;himmennä;himmennä|kirkkaus|nappi|painike|vähennä
🔆;kirkasta;kirkasta|kirkkaus|lisää|nappi|painike
📶;kuuluvuuspalkit;kenttä|kuuluvuus|kuuluvuuspalkit|matkapuhelin|palkki|puhelin|signaali
🛜;langaton;internet|laajakaista|langaton|netti|symboli|tietokone|verkko|wifi
📳;värinätila;äänetön|hiljainen|kännykkä|matkapuhelin|puhelin|värinä|värinätila
📴;matkapuhelin suljettava;kielletty|matkapuhelin|matkapuhelin suljettava|pois|puhelin
♀️;Venus-symboli;naissymboli|Venus-symboli
♂️;Mars-symboli;Mars-symboli|miessymboli
⚧️;transsymboli;trans|transsukupuolinen|transsymboli
✖️;kertomerkki;×|kertolasku|kertomerkki|merkki|peruuta|x|X
➕;plusmerkki;+|matematiikka|plus|plusmerkki
➖;miinusmerkki;-|matematiikka|miinus|miinusmerkki|vähennys
➗;jakomerkki;/|jako|jakomerkki|jakoviiva|matematiikka
🟰;paksu yhtäsuuruusmerkki;matematiikka|paksu yhtäsuuruusmerkki|vastaus|yhtä kuin|yhtäsuuruus
♾️;äärettömyys;ääretön|äärettömyys|aina|ikuinen|rajaton|universaali
‼️;kaksoishuutomerkki;2|huutomerkki|kaksoishuutomerkki|merkki|välimerkki
⁉️;huuto-kysymysmerkki;2|huuto-kysymysmerkki|huutomerkki|kysymysmerkki|merkki|välimerkki
❓;kysymysmerkki;kysymysmerkki|merkki|välimerkki
❔;valkoinen kysymysmerkki;kysymysmerkki|merkki|välimerkki|valkoinen kysymysmerkki
❕;valkoinen huutomerkki;huutomerkki|merkki|välimerkki|valkoinen
❗;huutomerkki;huutomerkki|merkki|välimerkki
〰️;aaltoviiva;aaltoileva|aaltoviiva|välimerkki|viiva
💱;valuutanvaihto;pankki|raha|vaihto|valuutanvaihto|valuutta
💲;paksu dollarimerkki;dollari|paksu dollarimerkki|raha|valuutta
⚕️;lääketieteen symboli;Asklepioksen sauva|lääketiede|lääketieteen symboli
♻️;kierrätyssymboli;kierrättää|kierrätys|kierrätyssymboli
⚜️;Ranskan lilja;fleur-de-lis|heraldinen lilja|lilja|Ranskan lilja|ranskanlilja
🔱;kolmikärki;ankkuri|atrain|kolme|kolmikärki|laiva|meri
📛;nimikyltti;kyltti|lappu|nimi|nimikyltti
🔰;japanilainen symboli aloittelijalle;ajokortti|aloittelija|auto|japani|Japani|japanilainen symboli aloittelijalle|shoshinsha|vihreä
⭕;suuri ympyrä;O|suuri ympyrä|ympyrä
✅;valkoinen valintamerkki;merkki|oikein|rasti|tarkistusmerkki|V|valkoinen valintamerkki|valmis
☑️;punainen valintamerkki;merkki|punainen valintamerkki|rasti|tarkistusmerkki|V
✔️;paksu valintamerkki;merkki|oikein|paksu valintamerkki|tarkistusmerkki|V|valintamerkki
❌;punainen rastimerkki;kertolasku|merkki|peruuta|punainen rastimerkki|X
❎;rastimerkki;kertolasku|laatikko|merkki|peruuta|rastimerkki|X
➰;silmukka;kaareva silmukka|silmukka
➿;kaksoissilmukka;2|kaksoissilmukka|nauhuri|silmukka|vastaaja
〽️;osanvaihtomerkki;ioriten|japani|merkki|osanvaihtomerkki
✳️;kahdeksanpiikkinen tähtimerkki;8|asteriski|kahdeksanpiikkinen tähtimerkki|tähti|tähtimerkki
✴️;kahdeksankärkinen tähti;8|asteriski|kahdeksankärkinen tähti|tähti|tähtimerkki
❇️;kipinä;kipinä|säihke|tähti
©️;tekijänoikeusmerkki;C|tekijänoikeus|tekijänoikeusmerkki
®️;rekisteröity-merkki;R|rekisteröity|rekisteröity-merkki
™️;tavaramerkki;merkki|tavaramerkki|TM
🫟;roiske;holi|maali|roiske|tahra
#️⃣;näppäin: #;näppäin
*️⃣;näppäin: *;näppäin
0️⃣;näppäin: 0;0|näppäin|nolla
1️⃣;näppäin: 1;1|näppäin|yksi
2️⃣;näppäin: 2;2|kaksi|näppäin
3️⃣;näppäin: 3;3|kolme|näppäin
4️⃣;näppäin: 4;4|näppäin|neljä
5️⃣;näppäin: 5;5|näppäin|viisi
6️⃣;näppäin: 6;6|kuusi|näppäin
7️⃣;näppäin: 7;7|näppäin|seitsemän
8️⃣;näppäin: 8;8|kahdeksan|näppäin
9️⃣;näppäin: 9;9|näppäin|yhdeksän
🔟;näppäin: 10;näppäin
🔠;syötä isoja kirjaimia;aakkoset|ABCD|isot|kirjaimet|latinalaiset|syötä|syötä isoja kirjaimia
🔡;syötä pieniä kirjaimia;aakkoset|abcd|kirjaimet|latinalaiset|pienet|syötä|syötä pieniä kirjaimia
🔢;syötä numeroja;1234|numerot|syötä|syötä numeroja
🔣;syötä merkkejä;merkit|symbolit|syötä|syötä merkkejä
🔤;syötä kirjaimia;aakkoset|abc|kirjaimet|latinalaiset|syötä|syötä kirjaimia
🅰️;A-veriryhmä;a|A-veriryhmä|veriryhmä
🆎;AB-veriryhmä;ab|AB-veriryhmä|veriryhmä
🅱️;B-veriryhmä;b|B-veriryhmä|veriryhmä
🆑;pyyhi-näppäin;cl|kumita|pyyhi|pyyhi-näppäin
🆒;COOL;COOL|laatikko|siistiä|teksti
🆓;FREE;FREE|ilmainen|laatikko|painike|teksti|vapaa
ℹ️;info;i|info|info-piste|tietoja
🆔;ID;henkilöllisyystodistus|id|ID|identiteetti
Ⓜ️;m ympyrässä;m|m ympyrässä|metro|ympyrä
🆕;NEW;laatikko|NEW|painike|teksti|uusi|uutta
🆖;NG;good|moka|ng|NG|no|teksti
🅾️;O-veriryhmä;o|O-veriryhmä|veriryhmä
🆗;OK;laatikko|OK|okay|okei|selvä
🅿️;P;merkki|P|parkkipaikka|pysäköinti
🆘;SOS;apua|hätämerkki|merkki|SOS
🆙;UP!;huutomerkki|merkki|päivitys|up|UP!|uutta|ylös
🆚;VS;merkki|versus|vs|VS
🈁;täällä-kirjainmerkki;japani|katakana|kirjoitusmerkki|täällä-kirjainmerkki
🈂️;palvelumaksu-kirjainmerkki;japani|katakana|kirjoitusmerkki|palvelumaksu-kirjainmerkki
🈷️;kuukausittainen määrä -kirjainmerkki;japani|kirjoitusmerkki|kuukausittainen määrä|kuukausittainen määrä -kirjainmerkki
🈶;maksullinen-kirjainmerkki;ei ilmainen|japani|kirjoitusmerkki|maksullinen-kirjainmerkki
🈯;varattu-kirjainmerkki;japani|kirjoitusmerkki|varattu-kirjainmerkki
🉐;hyvä ostos -kirjainmerkki;hyvä ostos|hyvä ostos -kirjainmerkki|japani|kirjoitusmerkki
🈹;alennus-kirjoitusmerkki;alennus|alennus-kirjoitusmerkki|japani|kirjoitusmerkki
🈚;maksuton-kirjainmerkki;japani|kirjoitusmerkki|maksuton-kirjainmerkki
🈲;kielletty-kirjoitusmerkki;japani|kielletty-kirjoitusmerkki|kirjoitusmerkki
🉑;hyväksyttävä-kirjoitusmerkki;hyväksyttävä-kirjoitusmerkki|japani|kiina|kirjoitusmerkki
🈸;hakemus-kirjoitusmerkki;hakemus|hakemus-kirjoitusmerkki|japani|kiina|kirjoitusmerkki
🈴;hyväksytty arvosana -kirjoitusmerkki;hyväksytty arvosana -kirjoitusmerkki|japani|kiina|kirjoitusmerkki
🈳;tyhjä-kirjoitusmerkki;japani|kiina|kirjoitusmerkki|tyhjä-kirjoitusmerkki
㊗️;onnittelut-kirjoitusmerkki;japani|kirjoitusmerkki|onnittelut-kirjoitusmerkki
㊙️;salainen-kirjoitusmerkki;ideogrammi|japani|käsitemerkki|kirjoitusmerkki|salainen-kirjoitusmerkki
🈺;avoinna-kirjoitusmerkki;avoinna|avoinna-kirjoitusmerkki|japani|kirjoitusmerkki
🈵;täynnä-kirjoitusmerkki;japani|kirjoitusmerkki|täynnä-kirjoitusmerkki
🔴;punainen ympyrä;muoto|punainen|ympyrä
🟠;oranssi ympyrä;oranssi|ympyrä
🟡;keltainen ympyrä;keltainen|ympyrä
🟢;vihreä ympyrä;vihreä|ympyrä
🔵;sininen ympyrä;muoto|sininen|ympyrä
🟣;violetti ympyrä;violetti|ympyrä
🟤;ruskea ympyrä;ruskea|ympyrä
⚫;musta ympyrä;muoto|musta|ympyrä
⚪;valkoinen ympyrä;muoto|valkoinen ympyrä|ympyrä
🟥;punainen neliö;neliö|punainen
🟧;oranssi neliö;neliö|oranssi
🟨;keltainen neliö;keltainen|neliö
🟩;vihreä neliö;neliö|vihreä
🟦;sininen neliö;neliö|sininen
🟪;violetti neliö;neliö|violetti
🟫;ruskea neliö;neliö|ruskea
⬛;iso musta neliö;iso musta neliö|muoto|neliö
⬜;iso valkoinen neliö;iso valkoinen neliö|muoto|neliö|valkoinen
◼️;keskikokoinen musta neliö;keskikokoinen musta neliö|muoto|neliö
◻️;keskikokoinen valkoinen neliö;keskikokoinen valkoinen neliö|muoto|neliö
◾;pienehkö musta neliö;muoto|musta|neliö|pienehkö musta neliö
◽;pienehkö valkoinen neliö;muoto|neliö|pienehkö valkoinen neliö|valkoinen
▪️;pieni musta neliö;muoto|musta|neliö|pieni musta neliö
▫️;pieni valkoinen neliö;muoto|neliö|pieni valkoinen neliö|valkoinen
🔶;iso oranssi vinoneliö;iso oranssi vinoneliö|muoto|oranssi|vinoneliö
🔷;iso sininen vinoneliö;iso sininen vinoneliö|muoto|sininen|vinoneliö
🔸;pieni oranssi vinoneliö;muoto|oranssi|pieni oranssi vinoneliö|vinoneliö
🔹;pieni sininen vinoneliö;muoto|pieni sininen vinoneliö|sininen|vinoneliö
🔺;punainen kolmio kärki ylös;kolmio|muoto|punainen|punainen kolmio kärki ylös
🔻;punainen kolmio kärki alas;kolmio|muoto|punainen|punainen kolmio kärki alas
💠;vinoneliö/kukka;kukka|muoto|vinoneliö|vinoneliö/kukka
🔘;valintanappi;muoto|valinta|valintanappi|valintaruutu|ympyrä
🔳;valkoinen neliöruutu;muoto|neliö|valinta|valintaruutu|valkoinen neliöruutu
🔲;musta neliöruutu;muoto|musta neliöruutu|neliö|valinta|valintaruutu

[flags]
🏁;ruutulippu;kilpa-ajot|ruutukuvio|ruutulippu
🚩;kolmiolippu;golf|kolmiolippu|lippu
🎌;liput ristissä;Japani|juhla|liput ristissä|ristityt
🏴;musta lippu;liehuva|lippu|musta
🏳️;valkoinen lippu;liehuva|lippu|valkoinen
🏳️‍🌈;sateenkaarilippu;biseksuaali|hlbt|hlbtq|hlbtqia|homo|lesbo|lhbt|lhbtq|lhbtqia|liehuva|lippu|sateenkaari|sateenkaarilippu|trans|transsukupuolinen
🏳️‍⚧️;translippu;lippu|trans|translippu|transsukupuolinen
🏴‍☠️;merirosvolippu;aarre|lippu|merirosvolippu|pääkallolippu|rosvous|ryöstö
🇦🇨;lippu: Ascension-saari;lippu
🇦🇩;lippu: Andorra;lippu
🇦🇪;lippu: Arabiemiirikunnat;lippu
🇦🇫;lippu: Afganistan;lippu
🇦🇬;lippu: Antigua ja Barbuda;lippu
🇦🇮;lippu: Anguilla;lippu
🇦🇱;lippu: Albania;lippu
🇦🇲;lippu: Armenia;lippu
🇦🇴;lippu: Angola;lippu
🇦🇶;lippu: Antarktis;lippu
